,bc_lb_rf0.2_sax0.5_poi80.0,bc_lb_rf0.45_sax0.75_poi80.0,bc_mb_rf0.175_sax0.5_poi80.0,bc_mb_rf0.3_sax0.75_poi80.0,bc_mb_rf0.5_sax1.0_poi80.0,lb_rf0.175_sax0.5_poi80.0,lb_rf0.35_sax0.75_poi80.0,mb_rf0.175_sax0.75_poi80.0
18324,1.0354831622316008,0.8667772489330332,1.2808102685864764,1.3373460962534551,1.303614383327755,1.1374375695057575,1.0106613542992484,1.6113292215105837
18325,0.42864929378705785,-0.04128610038116953,0.1853426494311503,-0.38087689517305545,-0.6361756058043291,0.38793625465908343,-0.11122462940022615,-0.395815109704329
18326,1.0,0.6784970243696336,1.0,1.0,0.44359136490821527,1.0,1.0,1.0
18327,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
18328,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
18329,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
18330,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
18331,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
18332,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
18333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
18334,1.0,1.0,1.0,1.0,1.012137135945764,1.0,1.0,1.0
18335,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
18336,1.0,1.058361619732696,1.0,1.3010629586213263,1.1721508881004574,1.0,1.2880760185854268,1.609174023208233
18337,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
18338,1.2216576792521865,1.5732371717663227,1.1638278818131518,1.3891502450006925,1.6756584617110093,1.0718192319796067,1.2718481743093548,1.0476077635710759
18339,1.0359161331234477,0.7993468386167706,1.207059796960289,1.2361041071035856,1.1320335137088051,1.167560713899496,1.1408271689452825,1.8650633488888388
18340,0.4149570588518099,0.4082035712094836,0.5110487767546577,0.586203527779908,0.897451336942737,0.4279551818801659,0.4033875221258185,0.7158450308193416
18341,0.8076521952269982,0.5903048653841232,0.7773962517651132,0.4346080464079769,0.19468506394353824,0.7067186951396334,0.39353465542112076,0.24973967235441208
18342,0.7913029902597142,0.48149000372190187,0.6210715033562142,0.1811015531387632,0.008547506848429975,0.7016483397002746,0.27716042599719515,-0.11990091113941403
18343,1.2950195751522027,1.5004785965790557,1.2413684434636973,1.4852364363322792,1.819201932094856,1.3568336299277637,1.6703857115536742,1.6643772529278351
